# Rime user dictionary
#@/db_name	clover
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	8158
#@/user_id	3dec6ac1-e48f-48db-b571-d010f4307a57
a 	啊	c=78 d=10.1101 t=8158
ri nuan 	日暖	c=1 d=1.86019e-08 t=8158
ri qi 	日期	c=2 d=2.87394e-07 t=8158
ri yue 	日月	c=0 d=1.25296e-07 t=8158
ri yue che ma 	日月车马	c=1 d=1.25924e-06 t=8158
ri zhi 	日志	c=5 d=1.00001 t=8158
rong 	容	c=1 d=2.38237e-07 t=8158
rong yao 	荣耀	c=1 d=6.50731e-05 t=8158
rong yi 	容易	c=1 d=0.995012 t=8158
rou shi 	肉食	c=1 d=0.0566989 t=8158
ru 	入	c=1 d=3.60718e-05 t=8158
ru dao 	如刀	c=0 d=3.61713e-09 t=8158
ru guo 	如果	c=1 d=0.0417941 t=8158
ru he 	如何	c=7 d=0.951315 t=8158
ru jia 	儒家	c=1 d=5.39612e-08 t=8158
ru zi ke jiao ye 	孺子可教也	c=1 d=6.52526e-08 t=8158
ruan 	软	c=0 d=9.70941e-08 t=8158
ruan jian 	软件	c=12 d=3.3006 t=8158
run yue 	闰月	c=2 d=5.12351e-08 t=8158
san 	三	c=1 d=9.07342e-07 t=8158
san bai 	三百	c=1 d=3.17618e-08 t=8158
san cun zhi she 	三寸之舌	c=1 d=4.55252e-08 t=8158
san da zhan yi 	三大战役	c=1 d=1.31403e-07 t=8158
san fang 	三方	c=1 d=0.970446 t=8158
san gang wu chang 	三纲五常	c=1 d=7.73442e-08 t=8158
san ge 	三个	c=4 d=0.000203468 t=8158
san gong 	三公	c=0 d=5.03131e-09 t=8158
san gong jiu 	三公九	c=1 d=5.56727e-08 t=8158
san gong jiu qing 	三公九卿	c=3 d=1.55541e-07 t=8158
san guan 	三观	c=1 d=2.83895e-11 t=8158
san re 	散热	c=1 d=0.000159256 t=8158
san shi gong 	三师公	c=1 d=6.59084e-08 t=8158
san yue bu zhi rou wei 	三月不知肉味	c=1 d=7.5996e-07 t=8158
sao si 	缫丝	c=1 d=2.06614e-08 t=8158
se 	色	c=2 d=3.9387e-10 t=8158
sen lin 	森林	c=1 d=0.0583244 t=8158
sha 	啥	c=8 d=1.75965 t=8158
sha 	杀	c=1 d=7.19168e-05 t=8158
sha qiu 	沙丘	c=0 d=4.88261e-09 t=8158
sha qiu zhi bian 	沙丘之变	c=1 d=4.90709e-08 t=8158
sha ye 	啥也	c=0 d=3.36617e-16 t=8158
sha ye kan bu le 	啥也看不了	c=1 d=3.38305e-15 t=8158
shai hei 	晒黑	c=1 d=1.32471e-14 t=8158
shan 	山	c=3 d=9.5157e-08 t=8158
shan 	闪	c=2 d=0.179975 t=8158
shan chu 	删除	c=2 d=6.62994e-11 t=8158
shan dan 	山丹	c=0 d=9.44684e-09 t=8158
shan dan ma chang 	山丹马场	c=1 d=9.4942e-08 t=8158
shan le 	闪了	c=0 d=1.28779e-06 t=8158
shan rang 	禅让	c=2 d=4.66197e-08 t=8158
shan shuo 	闪烁	c=3 d=0.000421569 t=8158
shan tui 	闪退	c=7 d=1.92739 t=8158
shan xian 	闪现	c=1 d=1.0209e-08 t=8158
shang 	上	c=15 d=0.7472 t=8158
shang bu 	上不	c=0 d=1.60911e-09 t=8158
shang bu ya zheng wen 	上不压正文	c=1 d=1.61717e-08 t=8158
shang chuan 	上传	c=6 d=9.17046e-05 t=8158
shang ci 	上次	c=1 d=0.980199 t=8158
shang dian 	商店	c=1 d=1.98614e-14 t=8158
shang jia 	商家	c=1 d=0.0142642 t=8158
shang mian 	上面	c=6 d=0.97531 t=8158
shang pin 	商品	c=1 d=2.42505e-10 t=8158
shang qu 	上去	c=1 d=0.995012 t=8158
shang sheng 	上升	c=4 d=0.079692 t=8158
shang shou 	上手	c=2 d=0.414783 t=8158
shang shu 	尚书	c=1 d=1.80958e-07 t=8158
shang xia 	上下	c=1 d=0.120032 t=8158
shang xing 	上行	c=1 d=1.06109e-09 t=8158
shang xing wen 	上行文	c=2 d=2.45448e-08 t=8158
shao 	少	c=1 d=0.0188734 t=8158
shao de 	少得	c=0 d=2.15639e-12 t=8158
shao wei 	稍微	c=1 d=0.000162473 t=8158
she bei 	设备	c=2 d=0.0151463 t=8158
she hui 	社会	c=0 d=7.41323e-10 t=8158
she hui zhu yi zhi du 	社会主义制度	c=1 d=0.000110555 t=8158
she ji 	设计	c=3 d=0.035019 t=8158
she jiao 	社交	c=7 d=1.28754e-08 t=8158
she jing 	射精	c=2 d=1.97521 t=8158
she qu 	社区	c=1 d=1 t=8158
she shi du 	摄氏度	c=1 d=0.00465413 t=8158
she zhi 	设置	c=8 d=0.416866 t=8158
shei 	谁	c=3 d=5.21385e-09 t=8158
shei jiu 	谁就	c=1 d=5.42502e-12 t=8158
shen lun 	申论	c=2 d=0.995012 t=8158
shen me 	什么	c=15 d=2.1718 t=8158
shen me yi si 	什么意思	c=1 d=1 t=8158
shen mu 	神墓	c=1 d=1 t=8158
shen shi 	甚是	c=0 d=3.86005e-09 t=8158
shen shi xiang nian 	甚是想念	c=1 d=3.8794e-08 t=8158
shen shou qi hai 	身受其害	c=1 d=5.74561e-11 t=8158
shen shu 	神书	c=1 d=0.00128115 t=8158
shen ti 	身体	c=1 d=0.97531 t=8158
shen zhi 	甚至	c=1 d=0.0558548 t=8158
sheng 	省	c=1 d=2.94819e-14 t=8158
sheng bu dai lai 	生不带来	c=1 d=1.87889e-08 t=8158
sheng chan guan xi 	生产关系	c=1 d=3.4753e-08 t=8158
sheng chan li 	生产力	c=2 d=3.50707e-08 t=8158
sheng cheng 	生成	c=10 d=5.45656e-06 t=8158
sheng dian 	省电	c=1 d=4.09095e-15 t=8158
sheng hui 	省会	c=1 d=0.000194515 t=8158
sheng ji 	升级	c=3 d=0.00477209 t=8158
sheng ji hou 	升级后	c=1 d=1.53037e-06 t=8158
sheng li 	生理	c=7 d=1.27309e-08 t=8158
sheng ren 	胜任	c=1 d=3.75567e-09 t=8158
sheng shi 	省事	c=1 d=0.571209 t=8158
sheng si 	生死	c=1 d=1.01074e-08 t=8158
sheng tai 	生态	c=1 d=6.77749e-13 t=8158
sheng xiang 	声响	c=1 d=9.49258e-06 t=8158
sheng xiao 	生效	c=3 d=0.00029802 t=8158
sheng yin 	声音	c=10 d=2.60115 t=8158
sheng yu 	剩余	c=0 d=4.55252e-09 t=8158
sheng yu 	胜于	c=1 d=4.59827e-08 t=8158
sheng yu bai wan xiong shi 	剩余百万雄师	c=1 d=4.57534e-08 t=8158
sheng yu jia zhi 	剩余价值	c=1 d=1.30769e-09 t=8158
shi 	使	c=3 d=0.965605 t=8158
shi 	市	c=3 d=0.97531 t=8158
shi 	时	c=5 d=1.03081 t=8158
shi 	是	c=142 d=10.68 t=8158
shi 	识	c=0 d=9.98097e-09 t=8158
shi 	试	c=1 d=0.351692 t=8158
shi bai 	失败	c=10 d=1 t=8158
shi bing 	士兵	c=1 d=9.37386e-05 t=8158
shi bu shi 	是不是	c=4 d=0.0152222 t=8158
shi chui 	石锤	c=1 d=6.22203e-07 t=8158
shi de 	是的	c=1 d=0.995012 t=8158
shi du 	湿度	c=1 d=1.77496e-15 t=8158
shi fan 	师范	c=1 d=0.980199 t=8158
shi fou 	是否	c=5 d=3.01595e-07 t=8158
shi ge 	是个	c=3 d=8.39227e-08 t=8158
shi ge ren 	是个人	c=1 d=0.00213348 t=8158
shi gong 	师公	c=0 d=6.55797e-09 t=8158
shi he 	适合	c=1 d=1.46025e-13 t=8158
shi hou 	时候	c=13 d=1.62835 t=8158
shi ji 	世纪	c=1 d=0.562705 t=8158
shi ji 	实际	c=2 d=0.00382958 t=8158
shi ji shang 	实际上	c=2 d=0.00559477 t=8158
shi jian 	事件	c=3 d=0.196912 t=8158
shi jian 	实践	c=1 d=1.50446e-11 t=8158
shi jian 	时间	c=3 d=1.68498 t=8158
shi jian duan 	时间段	c=1 d=5.61825e-12 t=8158
shi jian xun huan 	事件循环	c=1 d=0.108609 t=8158
shi jie 	世界	c=3 d=0.000209495 t=8158
shi le 	试了	c=0 d=1.33479e-16 t=8158
shi le xia 	试了下	c=1 d=1.34148e-15 t=8158
shi nian 	十年	c=1 d=2.6085e-15 t=8158
shi pin 	视频	c=23 d=2.85022 t=8158
shi qi 	时期	c=2 d=1.36194e-06 t=8158
shi qu 	失去	c=1 d=0.985112 t=8158
shi qu 	时区	c=1 d=5.76146e-14 t=8158
shi ren 	诗人	c=1 d=1.74734e-07 t=8158
shi shi 	试试	c=13 d=2.46165 t=8158
shi shi qiu shi 	实事求是	c=2 d=1.80197e-08 t=8158
shi shu 	史书	c=1 d=1.10307e-07 t=8158
shi sui zhe 	是随着	c=1 d=0.83527 t=8158
shi wan huo ji 	十万火急	c=1 d=1.0158e-08 t=8158
shi wu 	事物	c=1 d=0.000466618 t=8158
shi xian 	实现	c=14 d=0.0005599 t=8158
shi xian le 	实现了	c=1 d=4.73992e-12 t=8158
shi xiao 	失效	c=1 d=9.42566e-11 t=8158
shi xiao xing 	时效性	c=1 d=9.51877e-09 t=8158
shi yan 	实验	c=1 d=3.4153e-09 t=8158
shi ye 	事业	c=1 d=5.43536e-05 t=8158
shi ye bian 	事业编	c=5 d=3.86004e-10 t=8158
shi ye dan wei 	事业单位	c=1 d=5.38128e-05 t=8158
shi ying 	适应	c=1 d=0.839457 t=8158
shi yong 	使用	c=14 d=2.87819 t=8158
shi zheng 	时政	c=1 d=0.985112 t=8158
shi zhong jian chi 	始终坚持	c=0 d=3.15326e-12 t=8158
shi zhong jian chi dang dui jun dui de jue dui ling dao 	始终坚持党对军队的绝对领导	c=1 d=3.16906e-11 t=8158
shou 	受	c=1 d=1.53115e-12 t=8158
shou 	手	c=1 d=7.73574e-10 t=8158
shou biao 	手表	c=0 d=1.26193e-09 t=8158
shou biao ding lv 	手表定律	c=1 d=8.27522e-09 t=8158
shou biao li lun 	手表理论	c=1 d=4.40732e-09 t=8158
shou bu dao 	收不到	c=1 d=9.8374e-14 t=8158
shou dong 	手动	c=4 d=0.7415 t=8158
shou duan 	手段	c=2 d=0.918512 t=8158
shou ji 	手机	c=8 d=9.07964e-06 t=8158
shou le 	收了	c=1 d=8.29523e-08 t=8158
shou li 	手里	c=1 d=1.66212e-07 t=8158
shou nao ji guan 	首脑机关	c=1 d=7.67728e-09 t=8158
shou ru 	收入	c=0 d=0.00176857 t=8158
shou shen 	瘦身	c=2 d=0.0194482 t=8158
shou shui 	收税	c=1 d=2.38894e-10 t=8158
shou wu 	手误	c=1 d=1.89255e-05 t=8158
shou xia 	收下	c=0 d=8.07091e-10 t=8158
shou xian 	首先	c=1 d=5.08274e-10 t=8158
shou xie 	手写	c=4 d=0.110251 t=8158
shou xuan xiang 	首选项	c=2 d=1.99501 t=8158
shou yin ji 	收音机	c=4 d=0.0193332 t=8158
shou yin xiao ying 	首因效应	c=3 d=1.64221e-08 t=8158
shu 	书	c=2 d=1 t=8158
shu 	数	c=1 d=0.00447164 t=8158
shu biao 	鼠标	c=7 d=0.202197 t=8158
shu chu 	输出	c=8 d=2.38773 t=8158
shu ji 	书籍	c=3 d=8.49783e-14 t=8158
shu ji 	叔季	c=0 d=5.8164e-09 t=8158
shu ju 	数据	c=5 d=1.37112e-06 t=8158
shu ju bao 	数据包	c=2 d=1.06087e-11 t=8158
shu ju jie gou 	数据结构	c=2 d=1.94099 t=8158
shu ju ku 	数据库	c=1 d=1.40323e-15 t=8158
shu ju wu jia 	数据无价	c=1 d=9.93796e-16 t=8158
shu mei pai 	树莓派	c=15 d=0.0360031 t=8158
shu mi ma 	输密码	c=1 d=1.21655e-12 t=8158
shu qian 	书签	c=1 d=0.591555 t=8158
shu ren 	熟人	c=1 d=5.68747e-09 t=8158
shu ru 	输入	c=1 d=1.7655e-11 t=8158
shu ru fa 	输入法	c=6 d=4.34022e-05 t=8158
shu si 	述思	c=1 d=7.41197e-07 t=8158
shu tong 	疏通	c=1 d=1.11974e-07 t=8158
shu yu 	属于	c=1 d=2.09772e-10 t=8158
shu zu 	数组	c=2 d=6.67317e-07 t=8158
shua 	刷	c=1 d=0.00186406 t=8158
shua ji 	刷机	c=1 d=1.03647e-13 t=8158
shua ji hou 	刷机后	c=1 d=7.49156e-15 t=8158
shua le 	刷了	c=1 d=1.79158e-07 t=8158
shuang ji 	双击	c=1 d=0.937067 t=8158
shuang tian er 	双添耳	c=1 d=0.0925506 t=8158
shuang xiu 	双修	c=1 d=4.48703e-14 t=8158
shuang yin su 	双因素	c=3 d=6.28754e-09 t=8158
shui 	水	c=1 d=1.34775e-11 t=8158
shui jian bao 	水煎包	c=1 d=0.000115643 t=8158
shui jiao 	睡觉	c=1 d=0.020141 t=8158
shui shou 	税收	c=0 d=1.13686e-10 t=8158
shui xing 	水星	c=1 d=1 t=8158
shun geng 	舜耕	c=0 d=2.13973e-09 t=8158
shun geng li shan 	舜耕历山	c=1 d=2.15046e-08 t=8158
shun xu 	顺序	c=2 d=1.46827e-06 t=8158
shun xu hao 	顺序号	c=1 d=1.36435e-08 t=8158
shuo 	说	c=5 d=0.0185248 t=8158
shuo bu ding 	说不定	c=2 d=0.99005 t=8158
shuo de hao 	说得好	c=1 d=3.77449e-09 t=8158
shuo lai ye 	说来也	c=0 d=2.55468e-06 t=8158
shuo lai ye guai 	说来也怪	c=1 d=2.56748e-05 t=8158
shuo ming 	说明	c=2 d=5.63038e-06 t=8158
shuo ming shu 	说明书	c=2 d=0.0200867 t=8158
shuo shuo 	说说	c=1 d=2.28973e-11 t=8158
si 	四	c=0 d=8.14925e-06 t=8158
si chou zhi lu 	丝绸之路	c=1 d=7.96997e-08 t=8158
si fen zhi san 	四分之三	c=1 d=4.82319e-11 t=8158
si fen zhi yi 	四分之一	c=1 d=4.92063e-11 t=8158
si hou 	死后	c=1 d=0.00128757 t=8158
si hu 	似乎	c=7 d=3.50195 t=8158
si ji 	四级	c=1 d=3.69208e-14 t=8158
si jian tao 	四件套	c=1 d=4.84572e-07 t=8158
si le 	死了	c=1 d=0.000234044 t=8158
si miao 	寺庙	c=3 d=0.0192549 t=8158
si shi 	四十	c=1 d=8.05144e-10 t=8158
si wei 	思维	c=2 d=1.00389e-08 t=8158
si wei ding shi 	思维定势	c=1 d=3.10578e-09 t=8158
si xiang 	思想	c=2 d=0.0494532 t=8158
si xuan yi 	四旋翼	c=1 d=8.19009e-05 t=8158
si yao 	死要	c=1 d=1.88831e-08 t=8158
si you zhi 	私有制	c=2 d=4.16575e-11 t=8158
si yuan 	思源	c=1 d=0.99005 t=8158
si zi 	四字	c=1 d=1.60911e-08 t=8158
song ci 	宋词	c=1 d=1.03615e-06 t=8158
song ti 	宋体	c=1 d=1.19206e-08 t=8158
sou suo 	搜索	c=4 d=4.97122e-12 t=8158
su dong 	速冻	c=1 d=2.45618e-13 t=8158
su du 	速度	c=5 d=9.98645e-05 t=8158
su zhe 	苏辙	c=1 d=1.00553e-06 t=8158
suan 	算	c=0 d=0.0985112 t=8158
suan fa 	算法	c=5 d=2.33104 t=8158
suan fa ku 	算法库	c=1 d=0.99005 t=8158
suan sha 	算啥	c=1 d=2.54938e-10 t=8158
sui 	岁	c=1 d=6.57402e-05 t=8158
sui ji 	随机	c=3 d=6.60797e-09 t=8158
sui ran 	虽然	c=1 d=0.000437252 t=8158
sui ren 	燧人	c=1 d=1.97522e-08 t=8158
sui xing 	随行	c=1 d=1.47874e-14 t=8158
sui yue 	岁月	c=0 d=3.61713e-09 t=8158
sui yue ru dao 	岁月如刀	c=1 d=3.63526e-08 t=8158
sui zai jia zi tian xia da ji 	岁在甲子天下大吉	c=1 d=1.30747e-07 t=8158
sui zhe 	随着	c=0 d=0.0831104 t=8158
sun gong fei si 	损公肥私	c=1 d=1.16563e-09 t=8158
suo 	锁	c=2 d=1 t=8158
suo fang 	缩放	c=10 d=1.98522 t=8158
suo ping 	锁屏	c=2 d=0.941849 t=8158
suo yi 	所以	c=4 d=0.00156592 t=8158
suo you 	所有	c=1 d=1.01387e-15 t=8158
suo zhe 	锁着	c=1 d=0.878095 t=8158
ta 	他	c=21 d=2.34932 t=8158
ta 	它	c=1 d=6.69159e-10 t=8158
ta bu xing 	他不行	c=1 d=0.000982903 t=8158
ta de 	它的	c=1 d=1.94548e-06 t=8158
ta men 	他们	c=2 d=1.9802 t=8158
ta men 	它们	c=2 d=6.36523e-10 t=8158
ta shi 	他是	c=1 d=3.19156e-06 t=8158
ta shi bu shi 	他是不是	c=1 d=4.27924e-15 t=8158
tai 	太	c=3 d=0.00729913 t=8158
tai bu 	太不	c=1 d=0.980199 t=8158
tai can le 	太惨了	c=1 d=9.85615e-07 t=8158
tai chi 	太吃	c=1 d=3.70164e-15 t=8158
tai cun 	台村	c=0 d=4.14205e-15 t=8158
tai da 	太大	c=2 d=3.99916e-05 t=8158
tai diao zuan 	太刁钻	c=1 d=1.33757e-10 t=8158
tai duo 	太多	c=2 d=8.5464e-06 t=8158
tai duo le 	太多了	c=1 d=3.00049e-15 t=8158
tai feng 	台风	c=1 d=1 t=8158
tai ke xue le 	太科学了	c=1 d=1.38163e-09 t=8158
tai le 	泰勒	c=3 d=6.56036e-09 t=8158
tai liang 	太亮	c=0 d=2.78947e-11 t=8158
tai liang le 	太亮了	c=2 d=6.55005e-10 t=8158
tai luan 	太乱	c=1 d=7.81614e-14 t=8158
tai man 	太慢	c=2 d=8.31387e-05 t=8158
tai man le 	太慢了	c=1 d=3.24818e-07 t=8158
tai qiang 	太强	c=1 d=8.00856e-06 t=8158
tai qiang da 	太强大	c=1 d=8.25245e-06 t=8158
tai shi 	台式	c=1 d=2.10387e-15 t=8158
tai shi ji 	台式机	c=1 d=2.58255e-15 t=8158
tai sun 	太孙	c=1 d=0.00130703 t=8158
tai wan 	台湾	c=2 d=1.9361 t=8158
tai xue 	太学	c=1 d=7.58127e-08 t=8158
tai zi 	太子	c=0 d=3.28932e-09 t=8158
tai zi dian xia 	太子殿下	c=1 d=3.30581e-08 t=8158
tan 	弹	c=1 d=0.140156 t=8158
tan chu 	谈出	c=1 d=0.135335 t=8158
tang chao 	唐朝	c=1 d=1.72996e-07 t=8158
tang dai 	唐代	c=1 d=1.9119e-07 t=8158
tang shi 	唐诗	c=1 d=1.03098e-06 t=8158
tao 	套	c=1 d=0.00104891 t=8158
te bie 	特别	c=4 d=1.86802 t=8158
te ji 	特急	c=1 d=1.1396e-08 t=8158
te man 	特慢	c=1 d=2.58835e-12 t=8158
te ti 	特提	c=1 d=1.13392e-08 t=8158
te zhao 	特招	c=1 d=7.86896e-05 t=8158
teng xun 	腾讯	c=1 d=3.36617e-15 t=8158
ti 	体	c=1 d=5.19973e-13 t=8158
ti 	踢	c=0 d=6.91205e-10 t=8158
ti 	题	c=1 d=1.23154e-09 t=8158
ti chu 	提出	c=1 d=0.000249763 t=8158
ti dai 	替代	c=1 d=1.10916e-13 t=8158
ti gao 	提高	c=1 d=0.0221482 t=8158
ti gong 	提供	c=1 d=7.30286e-09 t=8158
ti huan 	替换	c=2 d=0.99005 t=8158
ti jiao 	提交	c=3 d=1 t=8158
ti mao xiao ying 	踢猫效应	c=2 d=1.39282e-08 t=8158
ti mu 	题目	c=1 d=0.99005 t=8158
ti qu 	提取	c=1 d=0.97531 t=8158
ti shi 	提示	c=2 d=2.4059e-05 t=8158
ti xian 	体现	c=1 d=0.00159641 t=8158
ti yan 	体验	c=2 d=0.0693066 t=8158
ti zi 	梯子	c=1 d=6.87055e-12 t=8158
tian chong 	填充	c=2 d=2.96529e-15 t=8158
tian di jun qin shi 	天地君亲师	c=2 d=1.31735e-07 t=8158
tian gou 	舔狗	c=1 d=7.89067e-08 t=8158
tian jia 	添加	c=2 d=0.946485 t=8158
tian qi 	天气	c=4 d=1.97032 t=8158
tian xia 	天下	c=0 d=1.30095e-08 t=8158
tian zi 	天子	c=1 d=7.61927e-08 t=8158
tiao 	跳	c=1 d=1.24134e-14 t=8158
tiao a 	跳啊	c=1 d=5.57675e-13 t=8158
tiao shi 	调试	c=4 d=6.89337e-10 t=8158
tiao shi yuan 	调试员	c=1 d=3.54732e-14 t=8158
tiao xuan 	挑选	c=1 d=6.50952e-09 t=8158
tiao yi ge 	挑一个	c=1 d=3.19319e-12 t=8158
tiao zheng 	调整	c=2 d=0.228898 t=8158
tie xin 	贴心	c=1 d=6.98389e-13 t=8158
tie zi 	帖子	c=1 d=0.826959 t=8158
tie zi 	铁子	c=0 d=0.0995012 t=8158
tie zi men 	铁子们	c=1 d=1 t=8158
ting 	挺	c=2 d=0.00285124 t=8158
ting da 	挺大	c=2 d=0.911592 t=8158
ting dao 	听到	c=1 d=0.955997 t=8158
ting de 	听得	c=2 d=1.94099 t=8158
ting duo 	挺多	c=3 d=0.0247312 t=8158
ting ge 	听歌	c=1 d=0.522046 t=8158
ting hao 	挺好	c=7 d=0.000810148 t=8158
ting hao de 	挺好的	c=1 d=2.78369e-15 t=8158
ting hao shi 	挺好使	c=1 d=1.41002e-13 t=8158
ting jian 	听见	c=1 d=9.25821e-06 t=8158
ting ke 	听课	c=1 d=0.000102055 t=8158
ting yong 	停用	c=1 d=0.0028799 t=8158
ting zhe 	听着	c=1 d=0.918512 t=8158
ting zhi 	停止	c=1 d=7.4107e-05 t=8158
tong 	同	c=1 d=0.0873716 t=8158
tong 	通	c=0 d=9.56648e-10 t=8158
tong bao 	同胞	c=1 d=0.0478349 t=8158
tong bu 	同步	c=7 d=3.83055 t=8158
tong deng 	同等	c=1 d=1.56155e-08 t=8158
tong gan 	同感	c=1 d=6.67545e-11 t=8158
tong ji 	同级	c=1 d=1.33836e-08 t=8158
tong ji ji guan 	同级机关	c=1 d=1.22836e-08 t=8158
tong ming 	同名	c=1 d=1.97079e-11 t=8158
tong qiu 	同求	c=1 d=1.88895e-12 t=8158
tong shi 	同时	c=1 d=0.965605 t=8158
tong xin 	通信	c=3 d=2.71481 t=8158
tong xin gong cheng 	通信工程	c=1 d=0.937067 t=8158
tong xue 	同学	c=1 d=0.99005 t=8158
tong yang 	同样	c=1 d=0.995012 t=8158
tong yang jie kou 	同样接口	c=1 d=1.85123e-10 t=8158
tong yi 	统一	c=0 d=5.53273e-09 t=8158
tong yi ge 	同一个	c=3 d=3.59848e-06 t=8158
tong yi kuai 	同一块	c=1 d=0.878095 t=8158
tong yi qi lai 	统一起来	c=1 d=0.00141589 t=8158
tong zhi 	统治	c=1 d=3.09082e-11 t=8158
tong zhi 	通知	c=1 d=4.49036e-12 t=8158
tong zhi ta 	通知他	c=1 d=4.33196e-12 t=8158
tou bi cong rong 	投笔从戎	c=1 d=1.13666e-07 t=8158
tou kui 	头盔	c=2 d=0.0672055 t=8158
tou ming 	透明	c=2 d=1.24379 t=8158
tou she 	投射	c=0 d=5.74463e-10 t=8158
tou she xiao ying 	投射效应	c=1 d=5.77343e-09 t=8158
tou tou 	偷偷	c=1 d=0.960789 t=8158
tou wen jian 	头文件	c=1 d=1.66297e-13 t=8158
tou xin 	偷信	c=1 d=4.48474e-08 t=8158
tu 	图	c=1 d=0.355226 t=8158
tu biao 	图标	c=2 d=2.58729e-14 t=8158
tu pian 	图片	c=8 d=1.00001 t=8158
tu ran 	突然	c=9 d=1.18839 t=8158
tu shang 	图上	c=1 d=4.41872e-10 t=8158
tui 	退	c=2 d=0.361804 t=8158
tui chu 	退出	c=6 d=0.985112 t=8158
tui en 	推恩	c=0 d=7.10416e-09 t=8158
tui en ling 	推恩令	c=2 d=1.4497e-07 t=8158
tui jian 	推荐	c=5 d=3.0034 t=8158
tui le 	退了	c=1 d=0.155673 t=8158
tui song 	推送	c=3 d=1 t=8158
tui wu bu tui shai 	退伍不褪色	c=1 d=1.31765e-10 t=8158
tui xing 	推行	c=1 d=7.17556e-08 t=8158
tui yi 	推移	c=1 d=0.852144 t=8158
tui yi 	退役	c=2 d=0.000182438 t=8158
tui yi shi bing 	退役士兵	c=1 d=9.05145e-05 t=8158
tuo 	托	c=2 d=0.0104347 t=8158
tuo gu gai zhi 	托古改制	c=1 d=1.30095e-07 t=8158
tuo pan 	托盘	c=1 d=1.36505e-14 t=8158
tuo zhuai 	拖拽	c=3 d=6.93813e-07 t=8158
wa kao 	哇靠	c=2 d=0.121238 t=8158
wa wa 	娃娃	c=1 d=4.0468e-05 t=8158
wai chao 	外朝	c=1 d=7.10416e-08 t=8158
wai guo ren 	外国人	c=1 d=0.000211772 t=8158
wai jie 	外接	c=2 d=1.65597e-14 t=8158
wai mai 	外卖	c=1 d=0.99005 t=8158
wan 	完	c=3 d=1.37564 t=8158
wan 	晚	c=1 d=7.56533e-09 t=8158
wan 	玩	c=1 d=2.07611e-08 t=8158
wan cheng 	完成	c=2 d=0.496585 t=8158
wan e 	万恶	c=2 d=0.0273291 t=8158
wan e zhi yuan 	万恶之源	c=1 d=8.02929e-07 t=8158
wan fei le 	玩废了	c=1 d=1.98e-07 t=8158
wan le 	完了	c=1 d=0.178173 t=8158
wan neng 	万能	c=2 d=0.00795058 t=8158
wan nian 	晚年	c=1 d=7.5617e-07 t=8158
wan quan 	完全	c=2 d=1.74334 t=8158
wang 	王	c=1 d=0.97531 t=8158
wang 	网	c=4 d=0.00877497 t=8158
wang ka 	网卡	c=1 d=1.65896e-14 t=8158
wang le 	忘了	c=1 d=3.44189e-12 t=8158
wang luo 	网络	c=8 d=2.30886 t=8158
wang shang 	网上	c=1 d=0.822835 t=8158
wang shi 	往事	c=1 d=0.00647375 t=8158
wang su 	网速	c=4 d=0.724509 t=8158
wang wei 	王位	c=0 d=3.33903e-09 t=8158
wang wen wen qie 	望闻问切	c=6 d=5.92568 t=8158
wang xi zhi 	王羲之	c=1 d=2.87393e-08 t=8158
wang xian 	网线	c=1 d=3.99687e-06 t=8158
wang xian zhi 	王仙芝	c=1 d=1.6957e-07 t=8158
wang xin yun 	网心云	c=2 d=3.56831e-14 t=8158
wang xu 	王旭	c=0 d=9.70941e-08 t=8158
wang ye 	网页	c=1 d=1.44921e-12 t=8158
wang ye ban 	网页版	c=1 d=0.995012 t=8158
wang yi rong 	王懿荣	c=2 d=5.3727e-08 t=8158
wang yi yun 	网易云	c=1 d=0.0987662 t=8158
wang yu 	忘语	c=1 d=0.995012 t=8158
wang zhan 	网站	c=2 d=0.995072 t=8158
wang zhao jun 	王昭君	c=1 d=9.78334e-08 t=8158
wang zhe 	王者	c=1 d=6.47485e-05 t=8158
wang zhuang 	网状	c=1 d=0.398519 t=8158
wei 	为	c=4 d=0.489212 t=8158
wei bian san jue 	韦编三绝	c=1 d=7.44912e-07 t=8158
wei bo 	韦伯	c=2 d=3.12346e-09 t=8158
wei ci 	为此	c=2 d=1.28906e-09 t=8158
wei fu wu 	微服务	c=5 d=1.93605 t=8158
wei he 	为何	c=2 d=2.25394e-07 t=8158
wei hu 	维护	c=1 d=0.00116504 t=8158
wei le 	为了	c=1 d=0.0439369 t=8158
wei mian tai 	未免太	c=0 d=2.34124e-09 t=8158
wei mian tai da 	未免太大	c=1 d=2.35298e-08 t=8158
wei qing 	卫青	c=2 d=1.91795e-07 t=8158
wei ruan 	微软	c=2 d=0.0415839 t=8158
wei sha 	为啥	c=1 d=9.12348e-10 t=8158
wei shen me 	为什么	c=5 d=0.00248372 t=8158
wei zhi 	位置	c=2 d=0.23457 t=8158
wen 	文	c=2 d=1.08949 t=8158
wen 	问	c=1 d=0.970446 t=8158
wen bao 	温饱	c=1 d=0.0190631 t=8158
wen ben 	文本	c=1 d=3.09829e-10 t=8158
wen du 	温度	c=5 d=0.00653988 t=8158
wen hua 	文化	c=1 d=0.0833256 t=8158
wen jian 	文件	c=25 d=3.33815 t=8158
wen jian ge shi 	文件格式	c=1 d=0.932394 t=8158
wen jian jia 	文件夹	c=2 d=1.93373e-15 t=8158
